UMLS:C0000744:T047:DISO	abetalipoproteinemia|acanthocytosis|apolipoprotein b deficiency|bassen kornzweig disease|bassen kornzweig syndrome|bassen-kornzweig disease|bassen-kornzweig syndrome|abl|microsomal triglyceride transfer protein deficiency disease|betalipoprotein deficiency disease|mtp deficiency|microsomal triglyceride transfer protein deficiency
UMLS:C0000774:T047:DISO	abnormality of secretion of gastrin
UMLS:C0000786:T047:DISO	spontaneous abortions|abortion, spontaneous|miscarriages|spontaneous abortion, fetus|abortion spontaneous|abortions, spontaneous|fetus spontaneous abortion|miscarriage of pregnancy|abortions.spontaneous|abortions spontaneous|miscarriage|spontaneous abortion|miscarriage pregnancy|miscarriages pregnancy|pregnancy miscarriage
UMLS:C0000809:T047:DISO	habitual abortion|recurrent abortions|recurrent abortion|recurrent miscarriages|abortion, recurrent|abortions, habitual|miscarriage, recurrent|abortions, recurrent|abortion recurrent|miscarriages, recurrent|habitual abortions|habitual aborter|recurrent miscarriage|miscarriage recurrent|abortion, habitual|chronic spontaneous abortion|abortion habitual
UMLS:C0000814:T047:DISO	missed abortions|miss abortion|missed abortion|abortion miss|abortion, missed|abortions, missed|missed miscarriage|abortion missed
UMLS:C0000821:T047:DISO	threatened abortion|abortions, threatened|abortion threatened|threatened miscarriage|threatened abortions|abortion, threatened|miscarriage threatening|threaten abortion
UMLS:C0000823:T047:DISO	veterinary abortions|veterinary abortion|abortion, veterinary|abortions, veterinary
UMLS:C0000833:T047:DISO	abscess|abscess nos|abscesses
UMLS:C0000880:T047:DISO	acanthamoeba keratitis|acanthamoeba keratitides|keratitides, acanthamoeba|keratitis, acanthamoeba
UMLS:C0000889:T047:DISO	keratosis nigricans|acanthosis nigricans
UMLS:C0001080:T047:DISO	chondrodystrophia|achondroplastic dwarf|achondroplasias|ach|achondroplastic dwarfism|achondroplasia|chondrodystrophia fetalis|osteosclerosis congenita
UMLS:C0001125:T047:DISO	acidosis lactic|acidosis, lactic|lactacidosis|lactic acidosis
UMLS:C0001126:T047:DISO	tubular renal acidosis|rta|acidosis tubular renal|renal tubular acidosis|acidosis renal tubules|renal tubule acidosis|acidosis, renal tubular
UMLS:C0001127:T047:DISO	acidosis respiratory|hypercapnic acidosis|respiratory acidoses|acidosis, respiratory|respiratory acidosis|acidoses, respiratory
UMLS:C0001139:T047:DISO	infections, mimae|acinetobacter infections|mimae infection|mimae infections|infection, acinetobacter|acinetobacter infection|infection, mimae|infections, acinetobacter
UMLS:C0001144:T047:DISO	acne, vulgaris|acne|acne vulgaris|vulgaris acne
UMLS:C0001145:T047:DISO	acne keloid|keloidal acnes|acne keloids|keloid, acne|acne keloidalis|keloidal acne|keloids, acne|acne, keloidal|folliculitis keloidalis|keloid acne|keloidal folliculitis
UMLS:C0001163:T047:DISO	vestibulocochlear nerve disease|disorder of acoustic or eighth nerve|vestibulocochlear nerve disorder|vestibulocochlear nerve diseases|acoustic nerve disorder nos|eighth cranial nerve diseases|cranial nerve viii diseases|disorders of acoustic nerve|cranial nerve viii disorders|acoustic nerve disorder
UMLS:C0001169:T047:DISO	acquired coagulation factor deficiency
UMLS:C0001175:T047:DISO	immunologic deficiency syndrome, acquired|aids, acquired immunodeficiency syndrome|acquired immunologic deficiency syndrome|acquired immuno-deficiency syndromes|immuno-deficiency syndrome, acquired|acquired immune deficiency syndrome|acquired immuno deficiency syndrome|aids|acquired immunodeficiency syndrome|immunodeficiency syndromes, acquired|syndromes, acquired immuno-deficiency|syndrome, acquired immunodeficiency|syndromes, acquired immunodeficiency|acquired immunodeficiency syndromes|immuno-deficiency syndromes, acquired|acquired immuno-deficiency syndrome|acquired immunodeficiency syndrome, aids|autoimmune deficiency syndrome|acquired immunodeficiency syndrome (aids)|aids disorders|immunodeficiency syndrome, acquired|syndrome, acquired immuno-deficiency|acquired immune deficiency
UMLS:C0001197:T047:DISO	acrodermatitides|acrodermatitis
UMLS:C0001202:T047:DISO	acrokeratosis
